Unnamed: 0,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
192,flat,dlf new town heights,sector 91,1.75,7403.0,4,4,3+,9.0,Relatively New,2139.0,0,1,0,1,0,0,88
193,flat,central park flower valley,sector 33,1.35,10385.0,3,2,2,3.0,New Property,1444.0,0,0,0,0,0,0,87
194,house,independent,sector 50,10.45,38704.0,4,5,2,3.0,Moderately Old,4000.0,1,1,0,1,0,2,142
195,flat,dlf new town heights,sector 91,1.8,7679.0,4,4,3+,6.0,Moderately Old,2604.0,0,1,0,1,0,0,81
196,house,dlf city plots,sector 26,4.0,4531.0,4,3,2,2.0,Relatively New,8829.0,0,0,0,0,0,2,0
197,flat,spaze privy,sector 72,1.9,9620.0,3,3,3,10.0,Relatively New,1975.0,0,0,0,0,0,0,0
198,house,dlf city plots phase 2,sector 25,6.5,33592.0,3,9,3+,3.0,Old Property,1935.0,1,1,1,1,0,2,142
199,flat,ramsons kshitij,sector 95,0.33,3910.0,2,2,1,14.0,New Property,694.0,0,0,0,0,1,2,79
200,flat,bptp amstoria,sector 102,1.9,8444.0,3,3,3+,1.0,Relatively New,2500.0,0,1,0,0,0,0,174
201,house,independent,sector 2,5.7,22637.0,9,9,3+,3.0,Moderately Old,2430.0,0,0,0,1,0,2,0
202,house,independent,sector 26,19.0,42222.0,6,8,3+,3.0,Moderately Old,4500.0,1,1,1,1,0,2,103
203,flat,aipl zen residences,sector 70a,1.65,13074.0,2,2,3,23.0,New Property,1142.0,0,0,0,0,0,0,81
204,house,independent,sector 26,8.9,32963.0,4,4,3+,2.0,Old Property,2700.0,1,1,1,1,0,0,82
205,flat,viridian the plaza 106,sector 106,0.46,6571.0,1,1,1,18.0,New Property,778.0,0,0,0,0,0,0,104
206,house,independent,sector 12,0.7,6034.0,3,3,0,1.0,Relatively New,1160.0,0,0,0,0,0,0,23
207,flat,pyramid urban,sector 67a,0.56,7932.0,2,2,2,0.0,Relatively New,778.0,0,0,0,0,1,0,49
208,house,independent,sector 45,7.35,29697.0,6,4,3+,3.0,Old Property,2475.0,1,1,1,1,0,2,61
209,flat,bptp terra,sector 37d,1.98,9037.0,3,3,3+,12.0,New Property,1983.0,1,0,0,0,0,2,49
210,flat,signature global park,sohna road,0.52,6326.0,2,2,2,3.0,Relatively New,913.0,0,0,0,1,0,0,161
211,flat,dlf the ultima,sector 81,2.25,10553.0,3,3,3+,15.0,Relatively New,1929.0,0,1,0,0,0,1,165
212,flat,shri ram apartments,sector 4,0.36,3789.0,2,2,1,4.0,Relatively New,1056.0,0,0,0,0,0,0,0
213,flat,mapsko mount ville,sector 79,1.2,8054.0,3,3,3,9.0,Relatively New,1321.0,1,0,0,0,0,2,104
214,flat,experion windchants,sector 112,5.2,10726.0,4,6,3+,15.0,Relatively New,3655.35,0,1,0,1,0,2,174
215,flat,signature global park,sohna road,0.78,6404.0,3,3,3,1.0,Relatively New,1344.0,0,0,0,1,0,0,150
216,flat,dlf the arbour,sector 63,7.52,18999.0,4,4,3,15.0,New Property,3956.0,0,0,0,0,0,0,61
217,flat,godrej aria,sector 79,1.45,9062.0,2,2,3+,9.0,Relatively New,1494.0,1,0,0,0,0,0,113
218,flat,smart world orchard,sector 61,2.41,14785.0,3,3,3,2.0,New Property,1630.0,0,0,0,0,0,0,61
219,flat,m3m skywalk,sector 74,2.25,12500.0,3,3,3,5.0,Relatively New,1900.0,1,0,0,0,0,0,174
220,flat,paras dews,sector 106,1.25,11062.0,3,4,3+,7.0,Relatively New,1186.0,1,1,0,0,0,0,167
221,flat,unitech greenwood city,sector 45,2.4,12346.0,3,3,2,1.0,New Property,195.0,0,1,0,0,0,2,19
222,flat,signature global city,sector 37d,1.0,8163.0,3,3,3,4.0,Under Construction,1250.0,0,0,0,0,0,0,49
223,flat,ansal heights 86,sector 86,0.74,5441.0,2,2,1,11.0,Under Construction,1231.0,0,0,0,0,1,0,45
224,house,independent,sector 105,0.5,5556.0,2,2,0,1.0,Moderately Old,100.0,0,0,0,0,0,0,0
225,flat,tata primanti,sector 72,5.0,11364.0,4,4,3+,2.0,New Property,4000.0,1,1,1,0,0,2,174
